key,value,来源小黑盒 雾东军: 58032429
Item_Helmat_SBossElec_ResSpace,比利头盔
Item_NailBat,锋利狼牙棒
Item_Crown,皇冠
Item_Character,躯壳
Item_0_MeleeWeapon_Template,切肉刀
Item_ArmorLV3,三级防弹衣
Item_Gem,金色五角星
Item_BatteryR6,R6电池
Item_Bandage,止血绷带
Item_BatteryPP3,PP3电池
Item_BeanCan,焗豆罐头
Item_Biscuit,苏打饼干
Item_Cola,可乐
Item_FirstAidKit_L,大急救箱
Item_FirstAidKit_M,急救箱
Item_FirstAidKit_S,小急救箱
Item_TunaCan__1,水浸金枪鱼罐头
Item_TunaCan_2,油浸金枪鱼罐头
Item_Aspirin,阿司匹林
Item_Bleach,漂白剂
Item_Cigarette,红条香烟
Item_Dynamite,管状炸弹
Item_DynamiteMultiple,集束管状炸弹
Item_Flashlight,手电
Item_GasMask_01,防毒面具
Item_Goggle,滑雪镜
Item_Nail,钉子
Item_Vodka,伏特加
Item_WD40,MD40
Item_Wrench,扳手
Item_ArmorLV1,一级防弹衣
Item_ArmorLV2,二级防弹衣
Item_ArmorLV4,四级防弹衣
Item_ArmorLV5,五级防弹衣
Item_BackpackLV1,装饰包
Item_BackpackLV2,小学背包
Item_BackpackLV3,旅行包
Item_BackpackLV4,生存者背包
Item_BackpackLV5,行军背包MAX
Item_HelmatLV1,摩托头盔
Item_HelmatLV2,老钢盔
Item_HelmatLV3,特警头盔
Item_HelmatLV4,SightPRO头盔
Item_HelmatLV5,SCIFI面罩
Item_HelmatLV6,神之电焊头
Item_Wrench02,汽车扳手
Item_ContinerL,大扩容箱
Item_ContinerM,中扩容箱
Item_ContinerS,小扩容箱
Item_Clock,闹钟
Item_Detergent,洁厕灵
Item_Drum1,红色大桶
Item_Drum2,蓝色大桶
Item_Drum3,黄色大桶
Item_Drum4,金属油桶
Item_GolfClub,高尔夫球棒
Item_Ink,墨水
Item_Pot,锅
Item_Tissue,卷纸
Item_Zippo,Cippo
Item_PressionSencer,压力传感器
Item_uPhone,uPhone手机
Item_Walkie_Talkie,对讲机
Item_Walkie_Talkie02,军用对讲机
Item_FlashGrenade,闪光手雷
Item_Grenade,手雷
Item_Chocalate,巧克力
Item_EnergyStick,能量棒
Item_Honey,蜂蜜
Item_Ketchup,番茄酱
Item_Book,书
Item_Letter,信件
Item_Key_BlueHouse,安全屋隔间钥匙
Item_AirplaneToy,飞机模型
Item_Ball,足球
Item_BicyleToy,自行车模型
Item_Cannon,大炮
Item_Compass,指南针
Item_Dice_2,骰子
Item_Dice,骰子
Item_Fish,玩具鱼
Item_Watch,怀表
Item_Egg,鸭蛋
Item_Heat,铝热剂
Item_Propane,丙烷
Item_Rope,绳子
Item_Drugs,一堆药
Item_Lv,输液药品
Item_Broom,扫帚
Item_Driver,平头螺丝刀
Item_ElectricSaw,电锯
Item_GasCanL,金属桶
Item_GasCanS,塑料桶
Item_HammerL,大锤子
Item_HammerS,锤子
Item_Lantern,煤油灯
Item_Shovel,铲子
Item_Telescope,望远镜
Item_Trap,捕兽陷阱
Item_Wrench03,撬棍
Item__1_AccessoryTemplate,配件模板
Item_CowMask,奶牛面具
Item_Hat,牛仔帽
Item_CocoMilk,可可奶
Item_Soda,苏打水
Item_Waterbottle,水壶
Item_Whisky,威士忌
Item_Pen,钢笔
Item_Scissors,剪刀
Item_Trophy,奖杯
Item_Mike,麦克风
Item_Radio,收音机
Item_TOMSUNGPhone,TOMSUNG手机
Item_Yogurt,酸奶
Item_Newspaper,报纸
Item_Note,笔记
Item_Lipstick,口红
Item_Ring,金戒指
Item_RingToy,花花戒指
Item_Robot,智能机器人
Item_Rocket,玩具火箭
Item_Skull,头骨饰品
Item_Tambourine,手鼓
Item_Trumpet,小号
Item_Xylophone,木琴
Item_Wheel,轮胎
Item_Yarn,线
Item_Pumpkin,南瓜
Item_Basket,购物框
Item_Cup,杯子
Item_Cake,蛋糕
Item_Carrot,胡萝 卜
Item_Bone,骨头玩具
Item_Heart,心
Item_Injection,注射器
Item_Injection_A,黄针
Item_HeadLantern,头灯
Item_Bullet_Template,子弹模板
Item_Bullet_AR_L_Normal,L-普通弹
Item_Bullet_AR_L_Burn,L-燃烧弹
Item_Bullet_AR_L_Piercing3,L-穿甲弹
Item_Bullet_AR_S_Normal,S-普通弹
Item_Bullet_AR_S_Dumdums,S-达姆弹
Item_Bullet_AR_S_Burn,S-燃烧弹
Item_Bullet_SHOT_Normal,霰弹-鹿弹
Item_Quest_Letter_Explorer,探索者的信
Item_Key_Dormitory103,宿舍楼103钥匙
Item_Key_Dormitory106,宿舍楼106钥匙
Item_Bullet_AR_L_Poison,L-涂毒弹
Item_Bullet_AR_L_Piercing5,L-高级穿甲弹
Item_Bullet_AR_S_Piercing2,S-穿甲弹
Item_Bullet_AR_S_Piercing4,S-高级穿甲弹
Item_Bullet_SHOT_Piranha,霰弹-食人鱼
Item_Bullet_SHOT_Burn,霰弹-龙息
Item_Bullet_SHOT_Piercing4,霰弹-箭形弹
Item_Bullet_SHOT_Electric,霰弹-电击
Item_Bullet_Sniper_Normal,狙击-普通弹
Item_Bullet_Sniper_Piercing3,狙击-穿甲弹
Item_Bullet_Sniper_Electric,狙击-电击弹
Item_Bullet_Sniper_Space,狙击-空间弹
Item_Bullet_Sniper_Piercing5,狙击-高级穿甲弹
Item_Grip_AS_Lv__1,突击握把 Lv1
Item_Grip_AS_Lv_2,突击握把 Lv2
Item_Grip_AS_Lv_3,突击握把 Lv3
Item_Grip_SP_Lv__1,快拆握把 Lv1
Item_Grip_SP_Lv_2,快拆握把 Lv2
Item_Grip_SP_Lv_3,快拆握把 Lv3
Item_Grip_Verticle_Lv__1,垂直握把 Lv1
Item_Grip_Verticle_Lv_2,垂直握把 Lv2
Item_Grip_Verticle_Lv_3,垂直握把 Lv3
Item_Muzzle_L_Type__1,大口径制退器 Lv.1
Item_Muzzle_L_Type_2,大口径制退器 Lv.2
Item_Muzzle_L_Type_3,大口径制退器 Lv.3
Item_Muzzle_Shot_Type__1,霰弹枪集束器 Lv.1
Item_Muzzle_Shot_Type_2,霰弹枪集束器 Lv.2
Item_Muzzle_Shot_Type_3,霰弹枪集束器 Lv.3
Item_Muzzle_Sniper_Type__1,狙击枪消音器 Lv.1
Item_Muzzle_Sniper_Type_2,狙击枪消音器 Lv.2
Item_Muzzle_Sniper_Type_3,狙击枪消音器 Lv.3
Item_Muzzle_S_Type__1,小口径制退器 Lv.1
Item_Muzzle_S_Type_2,小口径制退器 Lv.2
Item_Muzzle_S_Type_3,小口径制退器 Lv.3
Item_Scope_4X_Lv__1,4倍镜 Lv1
Item_Scope_4X_Lv_2,4倍镜 Lv2
Item_Scope_4X_Lv_3,4倍镜 Lv3
Item_Scope_8X_Lv__1,8倍镜 Lv1
Item_Scope_8X_Lv_2,8倍镜 Lv2
Item_Scope_8X_Lv_3,8倍镜 Lv3
Item_Scope_Digit_Lv__1,数字瞄具 Lv1
Item_Scope_Digit_Lv_2,数字瞄具 Lv2
Item_Scope_Digit_Lv_3,数字瞄具 Lv3
Item_Scope_Holo_Lv__1,全息瞄具 Lv1
Item_Scope_Holo_Lv_2,全息瞄具 Lv2
Item_Scope_Holo_Lv_3,全息瞄具 Lv3
Item_Scope_Long_Lv__1,快速瞄具 Lv1
Item_Scope_Long_Lv_2,快速瞄具 Lv2
Item_Scope_Long_Lv_3,快速瞄具 Lv3
Item_Scope_RedDot_Lv__1,红点瞄具 Lv1
Item_Scope_RedDot_Lv_2,红点瞄具 Lv2
Item_Scope_RedDot_Lv_3,红点瞄具 Lv3
Item_Stock_Rifle_Lv__1,步枪枪托 Lv1
