key,value
Tag_Cash,现金
Tag_NotForSell,不可售卖
Tag_ColorCard,颜色卡
Tag_Monitor,显示器
Tag_FaceMask,面罩
Tag_Injector,注射器
Tag_Healing,治疗
Tag_GunType_AR,突击步枪
Tag_GunType_BR,战斗步枪
Tag_GunType_MAG,机枪
Tag_GunType_PST,手枪
Tag_GunType_Rocket,火箭发射器
Tag_GunType_SHT,霰弹枪
Tag_GunType_SNP,狙击步枪
Tag_Computer,计算机
Tag_Element,元素弹
Tag_DontDropOnDeadInSlot,死亡不掉落
Tag_Fish,鱼
Tag_Fish_OnlyDay,仅白天
Tag_Fish_OnlyNight,仅夜晚
Tag_Fish_OnlyRainDay,仅雨天白天
Tag_Fish_OnlyStorm,仅暴风雨
Tag_Fish_OnlySunDay,仅晴天白天
Tag_Fish_Special,特殊鱼类
Tag_AdvancedDebuffMode,高级减益模式
Tag_NotNested,非嵌套
Tag_Bait,鱼饵
Tag_Cartridge,弹药筒/卡带
Tag_Crop,农作物
Tag_Earthworm,蚯蚓
Tag_FcController,FC手柄
Tag_GamingConsole,游戏主机
Tag_GunType_ARR,枪械类型_自动步枪
Tag_GunType_PWS,枪械类型_动力武器系统
Tag_Headset,耳机
Tag_JLab,JLab
Tag_LockInDemo,锁定演示/试玩版
Tag_MiniGame,小游戏
Tag_Seed,种子
Tag_Shit,Shit
Tag_SoulCube,灵魂方块
Tag_SpecialKey,特殊钥匙
Tag_Sticky,粘性物品
Tag_Western,西部风格
