Tag_Cash,現金
Tag_NotForSell,販売不可
Tag_ColorCard,カラーカード
Tag_Monitor,モニター
Tag_FaceMask,フェイスマスク
Tag_Injector,注射器
Tag_Healing,治療
Tag_GunType_AR,アサルトライフル
Tag_GunType_BR,バトルライフル
Tag_GunType_MAG,マシンガン
Tag_GunType_PST,ハンドガン
Tag_GunType_Rocket,ロケットランチャー
Tag_GunType_SHT,ショットガン
Tag_GunType_SNP,スナイパーライフル
Tag_Computer,コンピューター
Tag_Element,属性弾
Tag_DontDropOnDeadInSlot,死亡時ドロップしない
Tag_Fish,魚
Tag_Fish_OnlyDay,昼のみ
Tag_Fish_OnlyNight,夜のみ
Tag_Fish_OnlyRainDay,雨の昼のみ
Tag_Fish_OnlyStorm,嵐のみ
Tag_Fish_OnlySunDay,晴れの昼のみ
Tag_Fish_Special,特殊な魚
Tag_AdvancedDebuffMode,上級デバフモード
Tag_NotNested,非ネスト
Tag_Bait,餌
Tag_Cartridge,カートリッジ／弾薬筒
Tag_Crop,作物
Tag_Earthworm,ミミズ
Tag_FcController,FCコントローラー
Tag_GamingConsole,ゲーム機
Tag_GunType_ARR,銃器タイプ_アサルトライフル
Tag_GunType_PWS,銃器タイプ_パワーウェポンシステム
Tag_Headset,ヘッドセット
Tag_JLab,JLab
Tag_LockInDemo,ロックインデモ／体験版
Tag_MiniGame,ミニゲーム
Tag_Seed,種
Tag_Shit,糞（くそ）
Tag_SoulCube,ソウルキューブ
Tag_SpecialKey,特別な鍵
Tag_Sticky,粘着アイテム
Tag_Western,西部風
